Item No.,Item,DESCRIPTION,,Tag No,Material Master,Height,Core/Pair Number,Composition,MR No.,UNIT,Total Q'ty
,,Specification,Size,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,,Data Network System,,,,,,,,,
1.1,,Data Cabinet,,TEMP-DATA-001,FI31CB00ZZ-0000001,,,,,SET,8
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- 48C FOPP x 2EA,,,,,,,,,
,,- Firewall with IPS Function,,,,,,,,,
,,- Access Switch (48 port),,,,,,,,,
,,"- SFP modules, 1G",,,,,,,,,
,,- UTP Patch Panel,,,,,,,,,
,,- Voice Gate Way,,,,,,,,,
,,- Terminal Blocks,,,,,,,,,
,,- Grounding Bus Bar,,,,,,,,,
,,- Cable Trunk,,,,,,,,,
,,- ATS for Redundant Input Power,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
1.2,,Data/Voice outlet w/ associated dual outlet power socket,,,,,,,,,
,,"- 4-port outlet configuration and mounted in standard 4""x4"" electrical box(dual outlet power socket)",,TEMP-DATA-002,FI31CD02ZZ-0000001,,,,,EA,325
,,,,,,,,,,,
1.3,,Wifi Access point,,TEMP-DATA-003,FI31CE03ZZ-0000001,,,,,EA,41
,,- Indoor,,,,,,,,,
,,,,,,,,,,,
1.4,,Wifi Access point,,TEMP-DATA-004,FI31CE03ZZ-0000001,,,,,EA,14
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
2,,PAGA System,,,,,,,,,
2.1,,PAGA Central Cabinet,,TEMP-DATA-005,FI32DA00ZZ-0000001,,,,,SET,1
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
2.2,,PAGA MDF Cabinet,,TEMP-DATA-006,FI32DA00ZZ-0000001,,,,,SET,2
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Amplifier 300W x n (As per Speaker capacity + 20% spare),,,,,,,,,
,,- N+1 configuration,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
2.3,,PAGA Cabinet,,TEMP-DATA-007,FI32DB00ZZ-0000001,,,,,SET,5
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Amplifier 300W x n (As per Speaker capacity + 20% spare),,,,,,,,,
,,- N+1 configuration,,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
2.3,,PAGA Cabinet,,TEMP-DATA-008,FI32DB00ZZ-0000001,,,,,SET,2
,,- 800(W) x 800(D) x 2100(H),,,,,,,,,
,,- Amplifier 300W x n (As per Speaker capacity + 20% spare),,,,,,,,,
,,- N+1 configuration,,,,,,,,,
,,- Modular type UPS (mounted inside PAGA Cabinet),"Less than 10kVA x 2sets (A, B)",,,,,,,,
,,- Backup time,1-hour,,,,,,,,
,,- Battery,Ni-Cd,,,,,,,,
,,- Surge Diverter ,,,,,,,,,
,,,,,,,,,,,
2.4,,Loudspeaker (6W),,TEMP-DATA-009,FI32DG00AA-0000001,,,,,EA,126
,,- Wall structure mounted,,,,,,,,,
,,,,,,,,,,,
2.5,,Loudspeaker (6W),,TEMP-DATA-010,FI32DG00AA-0000001,,,,,EA,7
,,"- Wall structure mounted (Explosion proof, ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
2.6,,Loudspeaker (25W),,TEMP-DATA-011,FI32DG00AA-0000001,,,,,EA,355
,,- Wall structure mounted,,,,,,,,,
,,"- Explosion proof outdoor (ATEX Zone 1, IIA T3)",,,,,,,,,
,,,,,,,,,,,
2.7,,Ceiling speaker (1W),,TEMP-DATA-012,FI32DE00ZZ-0000001,,,,,EA,100
